Folder, Filename, Result, ExitCode, Time, Memory, dfaSz
GFand, gfand01, Unrealizable, 0, 0.304, 0.242, byPreprocess
GFand, gfand02, Unrealizable, 0, 0.064, 0.242, byPreprocess
GFand, gfand03, Unrealizable, 0, 0.070, 0.242, byPreprocess
GFand, gfand04, Unrealizable, 0, 0.067, 0.242, byPreprocess
GFand, gfand05, Unrealizable, 0, 0.053, 0.242, byPreprocess
GFand, gfand06, Unrealizable, 0, 0.214, 0.242, byPreprocess
GFand, gfand07, Unrealizable, 0, 0.069, 0.242, byPreprocess
GFand, gfand08, Unrealizable, 0, 0.075, 0.242, byPreprocess
GFand, gfand09, Unrealizable, 0, 0.059, 0.242, byPreprocess
GFand, gfand10, Unrealizable, 0, 0.058, 0.243, byPreprocess
GFand, gfand11, Unrealizable, 0, 0.056, 0.243, byPreprocess
GFand, gfand12, Unrealizable, 0, 0.072, 0.243, byPreprocess
GFand, gfand13, Unrealizable, 0, 0.065, 0.243, byPreprocess
GFand, gfand14, Unrealizable, 0, 0.061, 0.243, byPreprocess
GFand, gfand15, Unrealizable, 0, 0.058, 0.243, byPreprocess
GFand, gfand16, Unrealizable, 0, 0.055, 0.243, byPreprocess
GFand, gfand17, Unrealizable, 0, 0.068, 0.243, byPreprocess
GFand, gfand18, Unrealizable, 0, 0.070, 0.243, byPreprocess
GFand, gfand19, Unrealizable, 0, 0.073, 0.243, byPreprocess
GFand, gfand20, Unrealizable, 0, 0.070, 0.243, byPreprocess
Uright, uright01, Unrealizable, 0, 0.360, 0.242, byPreprocess
Uright, uright02, Realizable, 0, 0.025, 0.242, byPreprocess
Uright, uright03, Realizable, 0, 0.029, 0.242, byPreprocess
Uright, uright04, Realizable, 0, 0.028, 0.242, byPreprocess
Uright, uright05, Realizable, 0, 0.025, 0.242, byPreprocess
Uright, uright06, Realizable, 0, 0.351, 0.242, byPreprocess
Uright, uright07, Realizable, 0, 0.022, 0.242, byPreprocess
Uright, uright08, Realizable, 0, 0.027, 0.242, byPreprocess
Uright, uright09, Realizable, 0, 0.028, 0.242, byPreprocess
Uright, uright10, Realizable, 0, 0.028, 0.242, byPreprocess
Uright, uright11, Realizable, 0, 0.346, 0.242, byPreprocess
Uright, uright12, Realizable, 0, 0.028, 0.242, byPreprocess
Uright, uright13, Realizable, 0, 0.028, 0.242, byPreprocess
Uright, uright14, Realizable, 0, 0.029, 0.242, byPreprocess
Uright, uright15, Realizable, 0, 0.027, 0.242, byPreprocess
Uright, uright16, Realizable, 0, 0.316, 0.242, byPreprocess
Uright, uright17, Realizable, 0, 0.029, 0.242, byPreprocess
Uright, uright18, Realizable, 0, 0.025, 0.242, byPreprocess
Uright, uright19, Realizable, 0, 0.028, 0.242, byPreprocess
Uright, uright20, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 001, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 002, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 003, Unrealizable, 0, 0.147, 0.262, 1
syft_1, 004, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 005, Unrealizable, 0, 1.888, 0.367, 515
syft_1, 006, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 007, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 008, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 009, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 010, Realizable, 0, 0.026, 0.242, byPreprocess
syft_1, 011, Unrealizable, 0, 0.130, 0.262, 131
syft_1, 012, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 013, Realizable, 0, 0.024, 0.242, byPreprocess
syft_1, 014, Unrealizable, 0, 0.116, 0.259, 130
syft_1, 015, Unrealizable, 0, 0.080, 0.262, 67
syft_1, 016, Unrealizable, 0, 0.070, 0.262, 1
syft_1, 017, Unrealizable, 0, 0.093, 0.256, 66
syft_1, 018, Unrealizable, 0, 0.303, 0.266, 258
syft_1, 019, Realizable, 0, 0.022, 0.242, byPreprocess
syft_1, 020, Unrealizable, 0, 0.128, 0.262, 131
syft_1, 021, Realizable, 0, 0.025, 0.242, byPreprocess
syft_1, 022, Realizable, 0, 0.026, 0.242, byPreprocess
syft_1, 023, Unrealizable, 0, 0.054, 0.272, 1
syft_1, 024, Unrealizable, 0, 0.179, 0.263, 67
syft_1, 025, Unrealizable, 0, 0.339, 0.277, 259
syft_1, 026, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 027, Unrealizable, 0, 0.324, 0.263, 131
syft_1, 028, Unrealizable, 0, 0.068, 0.262, 34
syft_1, 029, Realizable, 0, 0.024, 0.242, byPreprocess
syft_1, 030, Realizable, 0, 0.024, 0.242, byPreprocess
syft_1, 031, Unrealizable, 0, 0.282, 0.266, 258
syft_1, 032, Realizable, 0, 0.029, 0.242, byPreprocess
syft_1, 033, Realizable, 0, 0.036, 0.242, byPreprocess
syft_1, 034, Unrealizable, 0, 0.081, 0.262, 35
syft_1, 035, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 036, Unrealizable, 0, 1.283, 0.300, 514
syft_1, 037, Realizable, 0, 0.032, 0.242, byPreprocess
syft_1, 038, Realizable, 0, 0.026, 0.242, byPreprocess
syft_1, 039, Unrealizable, 0, 0.052, 0.272, 1
syft_1, 040, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 041, Unrealizable, 0, 0.144, 0.263, 131
syft_1, 042, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 043, Unrealizable, 0, 0.122, 0.259, 130
syft_1, 044, Realizable, 0, 0.028, 0.242, byPreprocess
syft_1, 045, Realizable, 0, 0.023, 0.242, byPreprocess
syft_1, 046, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 047, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 048, Realizable, 0, 0.034, 0.242, byPreprocess
syft_1, 049, Unrealizable, 0, 0.102, 0.263, 67
syft_1, 050, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 051, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 052, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 053, Realizable, 0, 0.025, 0.242, byPreprocess
syft_1, 054, Unrealizable, 0, 0.089, 0.263, 67
syft_1, 055, Unrealizable, 0, 0.049, 0.262, 1
syft_1, 056, Unrealizable, 0, 0.080, 0.262, 35
syft_1, 057, Unrealizable, 0, 0.294, 0.266, 258
syft_1, 058, Unrealizable, 0, 0.085, 0.256, 66
syft_1, 059, Realizable, 0, 0.028, 0.242, byPreprocess
syft_1, 060, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 061, Realizable, 0, 0.032, 0.242, byPreprocess
syft_1, 062, Unrealizable, 0, 0.060, 0.262, 1
syft_1, 063, Unrealizable, 0, 0.048, 0.262, 1
syft_1, 064, Realizable, 0, 0.025, 0.242, byPreprocess
syft_1, 065, Unrealizable, 0, 1.500, 0.366, 515
syft_1, 066, Realizable, 0, 0.028, 0.242, byPreprocess
syft_1, 067, Realizable, 0, 0.033, 0.242, byPreprocess
syft_1, 068, Unrealizable, 0, 0.357, 0.278, 259
syft_1, 069, Realizable, 0, 0.035, 0.242, byPreprocess
syft_1, 070, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 071, Realizable, 0, 0.035, 0.242, byPreprocess
syft_1, 072, Unrealizable, 0, 0.069, 0.262, 1
syft_1, 073, Unrealizable, 0, 0.060, 0.272, 1
syft_1, 074, Realizable, 0, 0.032, 0.242, byPreprocess
syft_1, 075, Unrealizable, 0, 0.093, 0.263, 67
syft_1, 076, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 077, Unrealizable, 0, 0.047, 0.262, 1
syft_1, 078, Unrealizable, 0, 1.458, 0.300, 514
syft_1, 079, Realizable, 0, 0.024, 0.242, byPreprocess
syft_1, 080, Unrealizable, 0, 0.041, 0.262, 1
syft_1, 081, Realizable, 0, 0.026, 0.242, byPreprocess
syft_1, 082, Unrealizable, 0, 0.304, 0.266, 258
syft_1, 083, Realizable, 0, 0.024, 0.242, byPreprocess
syft_1, 084, Realizable, 0, 0.024, 0.242, byPreprocess
syft_1, 085, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 086, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 087, Unrealizable, 0, 0.059, 0.262, 1
syft_1, 088, Realizable, 0, 0.026, 0.242, byPreprocess
syft_1, 089, Unrealizable, 0, 0.060, 0.272, 1
syft_1, 090, Unrealizable, 0, 0.082, 0.263, 35
syft_1, 091, Unrealizable, 0, 0.115, 0.259, 130
syft_1, 092, Unrealizable, 0, 0.046, 0.262, 1
syft_1, 093, Realizable, 0, 0.031, 0.242, byPreprocess
syft_1, 094, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 095, Realizable, 0, 0.025, 0.242, byPreprocess
syft_1, 096, Unrealizable, 0, 0.053, 0.272, 1
syft_1, 097, Unrealizable, 0, 0.066, 0.262, 1
syft_1, 098, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 099, Realizable, 0, 0.026, 0.242, byPreprocess
syft_1, 100, Unrealizable, 0, 0.042, 0.262, 1
syft_1, 101, Realizable, 0, 0.034, 0.242, byPreprocess
syft_1, 102, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 103, Unrealizable, 0, 1.732, 0.366, 515
syft_1, 104, Unrealizable, 0, 0.076, 0.262, 35
syft_1, 105, Realizable, 0, 0.025, 0.242, byPreprocess
syft_1, 106, Unrealizable, 0, 0.086, 0.262, 34
syft_1, 107, Unrealizable, 0, 1.680, 0.367, 515
syft_1, 108, Realizable, 0, 0.024, 0.242, byPreprocess
syft_1, 109, Realizable, 0, 0.023, 0.242, byPreprocess
syft_1, 110, Realizable, 0, 0.022, 0.242, byPreprocess
syft_1, 111, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 112, Unrealizable, 0, 0.385, 0.278, 259
syft_1, 113, Unrealizable, 0, 0.307, 0.266, 258
syft_1, 114, Realizable, 0, 0.022, 0.242, byPreprocess
syft_1, 115, Realizable, 0, 0.024, 0.242, byPreprocess
syft_1, 116, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 117, Unrealizable, 0, 0.077, 0.263, 35
syft_1, 118, Realizable, 0, 0.029, 0.242, byPreprocess
syft_1, 119, Realizable, 0, 0.032, 0.242, byPreprocess
syft_1, 120, Unrealizable, 0, 1.897, 0.366, 515
syft_1, 121, Unrealizable, 0, 0.088, 0.256, 66
syft_1, 122, Unrealizable, 0, 0.092, 0.262, 67
syft_1, 123, Unrealizable, 0, 0.052, 0.262, 1
syft_1, 124, Unrealizable, 0, 0.089, 0.256, 66
syft_1, 125, Unrealizable, 0, 0.088, 0.256, 66
syft_1, 126, Realizable, 0, 0.029, 0.242, byPreprocess
syft_1, 127, Unrealizable, 0, 0.067, 0.262, 1
syft_1, 128, Realizable, 0, 0.028, 0.242, byPreprocess
syft_1, 129, Unrealizable, 0, 0.088, 0.256, 66
syft_1, 130, Realizable, 0, 0.032, 0.242, byPreprocess
syft_1, 131, Realizable, 0, 0.030, 0.242, byPreprocess
syft_1, 132, Realizable, 0, 0.025, 0.242, byPreprocess
syft_1, 133, Unrealizable, 0, 0.049, 0.262, 1
syft_1, 134, Realizable, 0, 0.022, 0.242, byPreprocess
syft_1, 135, Realizable, 0, 0.026, 0.242, byPreprocess
syft_1, 136, Unrealizable, 0, 0.402, 0.277, 259
syft_1, 137, Unrealizable, 0, 0.139, 0.262, 131
syft_1, 138, Realizable, 0, 0.032, 0.242, byPreprocess
syft_1, 139, Unrealizable, 0, 1.351, 0.300, 514
syft_1, 140, Unrealizable, 0, 0.067, 0.262, 35
syft_1, 141, Unrealizable, 0, 0.098, 0.256, 66
syft_1, 142, Realizable, 0, 0.032, 0.242, byPreprocess
syft_1, 143, Unrealizable, 0, 0.098, 0.262, 67
syft_1, 144, Realizable, 0, 0.028, 0.242, byPreprocess
syft_1, 145, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 146, Unrealizable, 0, 0.081, 0.262, 35
syft_1, 147, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 148, Unrealizable, 0, 0.085, 0.263, 35
syft_1, 149, Realizable, 0, 0.023, 0.242, byPreprocess
syft_1, 150, Unrealizable, 0, 0.083, 0.262, 67
syft_1, 151, Unrealizable, 0, 0.078, 0.262, 34
syft_1, 152, Unrealizable, 0, 0.070, 0.262, 1
syft_1, 153, Unrealizable, 0, 0.052, 0.262, 1
syft_1, 154, Unrealizable, 0, 0.124, 0.259, 130
syft_1, 155, Unrealizable, 0, 0.053, 0.262, 1
syft_1, 156, Realizable, 0, 0.027, 0.242, byPreprocess
syft_1, 157, Unrealizable, 0, 0.308, 0.266, 258
syft_1, 158, Unrealizable, 0, 0.115, 0.259, 130
syft_1, 159, Realizable, 0, 0.022, 0.242, byPreprocess
syft_1, 160, Realizable, 0, 0.025, 0.242, byPreprocess
syft_1, 161, Unrealizable, 0, 0.418, 0.277, 259
syft_1, 162, Realizable, 0, 0.034, 0.242, byPreprocess
syft_1, 163, Realizable, 0, 0.029, 0.242, byPreprocess
syft_1, 164, Unrealizable, 0, 1.444, 0.367, 515
syft_1, 165, Unrealizable, 0, 0.075, 0.263, 35
syft_1, 166, Unrealizable, 0, 0.089, 0.263, 67
syft_1, 167, Unrealizable, 0, 0.041, 0.262, 1
syft_1, 168, Realizable, 0, 0.026, 0.242, byPreprocess
syft_1, 169, Realizable, 0, 0.023, 0.242, byPreprocess
syft_1, 170, Unrealizable, 0, 0.115, 0.259, 130
syft_1, 171, Unrealizable, 0, 0.084, 0.263, 35
syft_1, 172, Unrealizable, 0, 0.103, 0.263, 67
syft_1, 173, Unrealizable, 0, 0.278, 0.266, 258
